sifra,naslov,avtor,cena_v_evrih,stevilo_strani,dimenzije,leto_izdaje,prevajalec,vezava,zalozba
013201,Krvavi krokarji (Žepna knjiga),Simon Scarrow,3.99,438,125 x 190 x 33 mm,2015,Maja Lihtenvalner,žepna,"Učila International, d.o.o."
003452,Tožniki,John Grisham,34.9,414,125 x 190 x 30 mm,2014,Denis Vir&scaron;ek,trda,"Učila International, d.o.o."
003527,Ma&scaron;čevalec (trda vezava),Frederick Forsyth,32.9,360,195 x 130 x 30 mm,2014,Marko Bogataj,trda,"Učila International, d.o.o."
013161,Izurjena (Žepna knjiga),Tara Sue Me,3.99,334,190 x 125 x 26 mm,2014,Petra Brecelj,žepna,"Učila International, d.o.o."
013130,Senčni potok (Žepna knjiga),Joy Fielding,10.9,336,"12,5 x 19 cm",2014,Samo Ku&scaron;čer,broširana,"Učila International, d.o.o."
013139,Orli v pu&scaron;čavi (Žepna knjiga),Simon Scarrow,12.9,384,"12,5 x 19 cm",2014,Maja Lihtenvalner,žepna,"Učila International, d.o.o."
011894,Komplet 3x ŽK Loretta Chase,Loretta Chase,19.99,1027,125 x 190 x 77 mm,0,"Petra Berlot Kužner, Katja Jeraj Valentinčič, Barbara Vitez",žepna,"Učila International, d.o.o."
013124,Solna pot (Žepna knjiga),Jane Johnson,12.9,431,"12,5 x 19 cm",2014,Mateja Maligoj,žepna,"Učila International, d.o.o."
003534,Izurjena (trda vezava),Tara Sue Me,32.9,331,195 x 130 x 28 mm,2014,Petra Brecelj,trda,"Učila International, d.o.o."
003485,Ukročena (trda vezava),Emma Chase,29.9,242,"13,5 x 19,5 cm",2014,Neža Ropret,trda,"Učila International, d.o.o."
003538,Popolna ljubezen (trda vezava),Carly Phillips,32.9,304,130 X 195 X 25 mm,2015,Barbara Golubovac,trda,"Učila International, d.o.o."
013144,Saga o kraljevini Tearling (Žepna knjiga),Erika Johansen,12.9,436,"12,5 x 19 cm",2014,Maja Prevolnik,broširana,"Učila International, d.o.o."
013168,Popolna ljubezen (Žepna knjiga),Carly Phillips,3.99,304,125 x 190 x 23 mm,2014,Barbara Golubovac,žepna,"Učila International, d.o.o."
003595,Orli v pu&scaron;čavi (Trda vezava),Simon Scarrow,34.9,384,"13,5 x 19,5 cm",2014,Maja Lihtenvalner,trda,"Učila International, d.o.o."
013169,Preračunljivka v žametu (Žepna knjiga),Loretta Chase,3.99,368,125 x 190 x 28 mm,5,Maja Prevolnik,žepna,"Učila International, d.o.o."
003598,Pesem kresnic (Trda vezava),J. A. Redmerski,14.99,310,"13,5 x 19,5 cm",2014,Jernej Zoran,trda,"Učila International, d.o.o."
003502,Zdravnik (Trda vezava),Noah Gordon,19.99,732,"13,5 x 19,5 cm",2014,Lidija Kreft,trda,"Učila International, d.o.o."
013167,Poročni dogovor (Žepna knjiga),Mary Balogh,3.99,350,125 x 190 x 27 mm,2015,Irena Madric,žepna,"Učila International, d.o.o."
003335,Miniaturistka (Trda vezava),Jessie Burton,14.99,384,"13,5 x 19,5 cm",2014,Mojca Svetičič,trda,"Učila International, d.o.o."
013159,Ma&scaron;čevalec (Žepna knjiga),Frederick Forsyth,3.99,362,190 x 125 x 28 mm,2014,Marko Bogataj,žepna,"Učila International, d.o.o."
013151,Na prvi pogled (Žepna knjiga),Nicholas Sparks,10.9,272,"12,5 x 19 cm",2014,Mojca Svetičič,broširana,"Učila International, d.o.o."
003463,Na prvi pogled,Nicholas Sparks,29.9,272,125 x 190 x 20 mm,2014,Mojca Svetičič,trda,"Učila International, d.o.o."
013140,Pesem kresnic (Žepna knjiga),J. A. Redmerski,3.99,310,"12,5 x 19 cm",2014,Jernej Zoran,žepna,"Učila International, d.o.o."
013134,Zdravnik (Žepna knjiga),Noah Gordon,16.9,732,"12,5 x 19 cm",2014,Lidija Kreft,broširana,"Učila International, d.o.o."
003415,Zapeljivčev poljub (Trda vezava),Julia Quinn,14.99,336,"13,5 x 19,5 cm",2014,Mateja Maligoj,trda,"Učila International, d.o.o."
013125,Uklonjena (Žepna knjiga),Emma Chase,3.99,237,"12,5 x 19 cm",2014,Katja Mikelj,žepna,"Učila International, d.o.o."
013155,Ukročena (Žepna knjiga),Emma Chase,3.99,242,190 x 125 x 16 mm,2014,Neža Ropret,žepna,"Učila International, d.o.o."
011883,Komplet Nicholas Sparks - 4 uspe&scaron;nice,Nicholas Sparks,26.9,1429,0,2014,"Nata&scaron;a Grom, Jernej Zoran",žepna,"Učila International, d.o.o."
003454,Čas za ubijanje (trda vezava),John Grisham,36.9,571,195 x 130 x 44 mm,2014,Samo Ku&scaron;čer,trda,"Učila International, d.o.o."
013132,Prepu&scaron;čena (Žepna knjiga),Tara Sue Me,3.99,416,"12,5 x 19 cm",2014,Petra Brecelj,broširana,"Učila International, d.o.o."
003588,Najbolj&scaron;e počitnice (Trda vezava),Jane Costello,14.99,394,"13,5 x 19,5 cm",2014,Katja Jeraj Valentinčič,trda,"Učila International, d.o.o."
013141,Popolna romanca (Žepna knjiga),Carly Phillips,10.9,320,"12,5 x 19 cm",2014,Barbara Golubovac,žepna,"Učila International, d.o.o."
003407,Obožujem London (trda vezava),Lindsey Kelk,14.99,366,"13,5 x 19,5 cm",2014,Teja Britov&scaron;ek,trda,"Učila International, d.o.o."
003599,Živi svoje sanje (trda vezava),Lori Nelson Spielman,32.9,336,"13,5 x 19,5 cm",2014,Neža Kralj,trda,"Učila International, d.o.o."
003438,Senčni potok (Trda vezava),Joy Fielding,12.99,336,"13,5 x 19,5 cm",2014,Samo Ku&scaron;čer,trda,"Učila International, d.o.o."
003559,Slepa ulica (Trda vezava),Louise Doughty,14.99,384,"13,5 x 19,5 cm",2014,Amanda Mlakar,trda,"Učila International, d.o.o."
013150,Plavalec (Žepna knjiga),Joakim Zander,12.9,410,"12,5 x 19 cm",2014,Danni Stražar,broširana,"Učila International, d.o.o."
003569,Gospodar teme (trda vezava),Elizabeth Hoyt,12.99,342,"13,5 x 19,5 cm",2014,Ida Sternad,trda,"Učila International, d.o.o."
003593,Prerok (trda vezava),Ethan Cross,6.0,476,195 x 130 x 38 mm,2014,Niki Neubauer,trda,"Učila International, d.o.o."
003488,Vojvodinja po naključju (Trda vezava),Tessa Dare,14.99,336,"13,5 x 19,5 cm",2014,Suzana Pečnik,trda,"Učila International, d.o.o."
003533,Prepu&scaron;čena (Trda vezava),Tara Sue Me,34.9,416,"13,5 x 19,5 cm",2014,Petra Brecelj,trda,"Učila International, d.o.o."
013165,Neznani Gauguin (Žepna knjiga),Jean-Luc Bannalec,10.9,272,125 x 190 x 20 mm,2015,Maru&scaron;a Mugerli Lavrenčič,žepna,"Učila International, d.o.o."
003589,Ženitna ponudba (Trda vezava),Mary Balogh,12.99,336,"13,5 x 19,5 cm",2014,Irena Madric,trda,"Učila International, d.o.o."
003303,Saga o kraljevini Tearling,Erika Johansen,34.9,436,"13,5 x 19,5 cm",2014,Maja Prevolnik,trda,"Učila International, d.o.o."
003590,Poročni dogovor (trda vezava),Mary Balogh,12.99,350,130 x 195 x 30 mm,2015,Irena Madric,trda,"Učila International, d.o.o."
013143,Obožujem London (Žepna knjiga),Lindsey Kelk,3.99,366,"12,5 x 19 cm",2014,Teja Britov&scaron;ek,broširana,"Učila International, d.o.o."
003596,Cesarska straža (trda vezava),Simon Scarrow,14.99,416,195 x 130 x 38 mm,2014,&Scaron;pela Žakelj,trda,"Učila International, d.o.o."
013157,Čas za ubijanje (Žepna knjiga),John Grisham,3.99,571,190 x 125 x 42 mm,2014,Samo Ku&scaron;čer,žepna,"Učila International, d.o.o."
013149,Tožniki (Žepna knjiga),John Grisham,12.9,414,"12,5 x 19 cm",2014,Denis Vir&scaron;ek,broširana,"Učila International, d.o.o."
003537,Popolna romanca (Trda vezava),Carly Phillips,12.99,320,"13,5 x 19,5 cm",2014,Barbara Golubovac,trda,"Učila International, d.o.o."
003632,Obljubljena ena noč (trda vezava),Jodi Ellen Malpas,14.99,384,195 x 130 x 30 mm,2014,Katja Jeraj Valentinčič,trda,"Učila International, d.o.o."
003351,Plavalec,Joakim Zander,34.9,410,125 x 190 x 30 mm,2014,Danni Stražar,trda,"Učila International, d.o.o."
003565,V vrtincu skrivne ljubezni z lordom (trda vezava),Sarah MacLean,14.99,393,195 x 130 x 32 mm,2014,Petra Anžlovar,trda,"Učila International, d.o.o."
013146,Živi svoje sanje (Žepna knjiga),Lori Nelson Spielman,10.9,336,"12,5 x 19 cm",2014,Neža Kralj,broširana,"Učila International, d.o.o."
003536,Popolna sreča (trda vezava),Carly Phillips,14.99,320,"13 x 19,5 cm",2014,Barbara Golubovac,trda,"Učila International, d.o.o."
003413,Draga Eloise (Trda vezava),Julia Quinn,12.99,331,"13 x 19,5 cm",2014,Ur&scaron;ka Willewaldt,trda,"Učila International, d.o.o."
